name,alternate name,common set
portuguese integralism,POR intgrlsm,1
philosophy of history,history phil,1
paradigm,,1
property dualism,property dlsm,1
value theory,,1
religious zionism,rlgs zionism,1
interpretivism,,1
anarcho-syndicalism,anrch sndclsm,1
mithraism,,1
freemasonry,,1
irrealism,,1
anti-communism,,1
synthesist anarchism,synthst anrchsm,1
social business,,1
bhakti movement,,1
philosophy of social science,social sci phil,1
manchu shamanism,manchu shmnsm,1
platonic realism,platonic rlsm,1
kathenotheism,,1
experientialism,,1
islamism,,1
greek philosophy,greek phil,1
cultural feminism,cultural fmnsm,1
socialism with chinese characteristics,chinese sclsm,1
metaxism,,1
comtism,,1
actual idealism,,1
internalism,,1
kraterocracy,,1
philosophy of mind,mind phil,1
nominalism,,1
psychological egoism,psych egoism,1
critical rationalism,crit rtnlsm,1
new realism,,1
philosophy of healthcare,healthcare phil,1
jesuism,,1
absurdism,,1
confucianism,,1
individualism,,1
necessitarianism,necessitarism,1
philosophy of love,love phil,1
ra\u00eblism,,1
identitarianism,,1
communization,,1
left communism,,1
individualist feminism,librtn fmnsm,1
neoliberalism,,1
archeosophical society,archeosophy,1
survivalism,,1
religious socialism,religious sclsm,1
marxist philosophy of nature,marx ntrl phil,1
social darwinism,soc darwinism,1
panentheism,,1
neo-marxism,,1
applied ethics,,1
cultural relativism,cltrl rltvsm,1
green left,,1
liberal feminism,lib fmnsm,1
perspectivism,,1
huna,,1
systems philosophy,systems phil,1
philosophy of nature,nature phil,1
transtheism,,1
servants of the light,SOL,0
machiavellianism,machiavellism,1
inductivism,,1
computer ethics,,1
fourierism,,1
molinism,,1
pastafarianism,,1
logicism,,1
patriotism,,1
physical ontology,physicalism,0
theological noncognitivism,thlgcl ncgntvsm,1
kakistocracy,,1
flower sermon,,1
communalism,,1
autarchism,,1
alchemy,,1
tautology,,1
multilateralism,,1
ontology,,1
american philosophy,american phil,1
yazd\u00e2nism,,1
communitarianism,communitarism,1
epiphenomenalism,epiphenomenaly,1
pataphysics,,1
black anarchism,,1
feudalism,,1
brazilian integralism,BR intgrlsm,1
focalism,,1
secular liberalism,secular lib,1
metaphysical naturalism,mtphscl ntrlsm,1
buddhist philosophy,buddhist phil,1
charvaka,,1
optimism,,1
realism,,1
behaviorism,,1
transcendental idealism,trscdntl idlsm,1
asceticism,,1
zurvanism,,1
misology,,1
socialism,,1
mentalism,,1
substantialism,,1
scientific socialism,scntfc sclsm,1
taoism,,1
makhnovism,,1
historical materialism,hstrcl mtrlsm,1
islamic fundamentalism,islamic fdmtlsm,1
consumerism,,1
timocracy,,1
anarcho-capitalism,anrch cptlsm,1
jewish feminism,,1
red toryism,,1
khilafat movement,khilafat mvmnt,1
religious nationalism,rlgs ntnlsm,1
neo-nationalism,,1
polyandry,,1
orthodox marxism,orthodox marx,1
animism,,1
innatism,,1
christian zionism,chr zionism,1
personalism,,1
anti-revisionism,anti-rvsnsm,1
sophism,,1
anarcho-communism,anrch communism,1
monolatrism,,1
nontheism,,1
pure practical reason,pure prac rsn,1
united order,,0
eckankar,,1
simulism,,1
philosophy of language,language phil,1
collectivist anarchism,clctvst anrchsm,1
logical positivism,logical pstvsm,1
judaism,,1
legal naturalism,legal ntrlsm,1
relationalism,,1
green liberalism,green lib,1
meliorism,,1
free will,,1
philosophy of logic,logic phil,1
minarchism,,1
epistemology,,1
sikhism,,1
positivism,,1
clerical fascism,clero-fascism,1
irrationalism,,1
right-wing populism,rightist pplsm,1
philosophy of natural science,ntrl sci phil,1
pow-wow (folk magic),Pow-wow,1
fourth way,,1
didacticism,,1
fusionism,,1
philosophy of space and time,space time phil,1
neo-aristotelianism,neo-arsttlnsm,1
philosophy of design,design phil,1
chinese socialism,CPC Ideology,1
opportunism,,1
confederalism,,1
producerism,,1
christian communism,christian cmnsm,1
christian socialism,christian sclsm,1
religious communism,religious cmnsm,1
phenomenal conservatism,phnmnl cnsrvtsm,1
neo-stalinism,,1
kritarchy,,1
deductivism,,1
polytheism,,1
pelagianism,,1
white nationalism,white ntnlsm,1
zapatismo,,1
german idealism,,1
romanian philosophy,romanian phil,1
druidism,,1
physicalism,,1
theism,,1
philosophy of mathematics education,math edu phil,1
nasserism,,1
separatist feminism,sprtst fmnsm,1
green zionism,,1
particularism,,1
ecofeminism,,1
xi jinping thought,xi jinping tht,1
polylogism,,1
liberal conservatism,lib cnsrvtsm,1
occam's razor,,1
hoxhaism,,1
philosophy of biology,biology phil,1
anarchism without adjectives,no-adj anrchsm,1
theocracy,,1
compatibilism,,1
process philosophy,process phil,1
titoism,,1
stoicism,,1
irish nationalism,irish ntnlsm,1
sabellianism,,1
wahdat-ul-wujood,sufi mtphscs,1
western marxism,,1
rosicrucian,,1
post-modernism,,1
gothicismus,gothicism,1
christian ecology,chr ecology,1
vishishtadvaita,,1
stratocracy,,1
zen,,1
pragmatism,,1
ho chi minh thought,ho chi minh tht,1
hegelian synthesis,hegel synthesis,1
neuroethics,,1
market socialism,market sclsm,1
medical ethics,,1
korean shamanism,korean shmnsm,1
finalism,,1
national communism,national cmnsm,1
euroscepticism,,1
occasionalism,,1
pessimism,,1
categorical imperative,cat imperative,1
sexualism,,1
vassalism,,1
creationism,,1
green conservatism,green cnsrvtsm,1
tribalism,,1
buddhist socialism,buddhist sclsm,1
jingoism,,1
